id,user_id
1,34
2,32
3,48
4,91
5,98
6,56
7,12
8,88
9,50
10,14
11,67
12,69
13,9
14,77
15,57
16,36
17,14
18,13
19,22
20,31
21,56
22,10
23,24
24,33
25,5
26,81
27,56
28,26
29,41
30,56
31,14
32,48
33,50
34,37
35,66
36,75
37,36
38,28
39,57
40,66
41,52
42,77
43,30
44,58
45,73
46,98
47,72
48,94
49,61
50,21
51,60
52,44
53,70
54,77
55,47
56,60
57,1
58,7
59,75
60,27
61,35
62,78
63,26
64,13
65,6
66,1
67,97
68,27
69,72
70,21
71,49
72,73
73,9
74,34
75,41
76,53
77,45
78,83
79,6
80,87
81,40
82,61
83,5
84,89
85,54
86,61
87,47
88,89
89,50
90,54
91,5
92,53
93,17
94,65
95,64
96,12
97,15
98,98
99,97
100,28
101,13
102,94
103,38
104,28
105,58
106,16
107,73
108,81
109,28
110,48
111,93
112,44
113,11
114,77
115,98
116,89
117,35
118,9
119,62
120,67
121,73
122,93
123,87
124,62
125,83
126,10
127,84
128,55
129,93
130,77
131,83
132,98
133,24
134,62
135,72
136,5
137,83
138,96
139,93
140,47
141,99
142,16
143,51
144,97
145,99
146,78
147,29
148,68
149,41
150,29
151,56
152,4
153,88
154,30
155,51
156,36
157,15
158,95
159,87
160,21
161,48
162,64
163,40
164,55
165,61
166,40
167,83
168,2
169,38
170,36
171,42
172,32
173,9
174,81
175,5
176,66
177,80
178,59
179,45
180,29
181,40
182,20
183,19
184,94
185,83
186,89
187,95
188,8
189,80
190,22
191,90
192,45
193,20
194,85
195,4
196,52
197,36
198,43
199,90
200,82
201,17
202,93
203,85
204,8
205,92
206,7
207,49
208,62
209,100
210,17
211,29
212,95
213,33
214,40
215,5
216,11
217,8
218,63
219,63
220,86
221,43
222,48
223,88
224,80
225,87
226,99
227,27
228,36
229,98
230,64
231,77
232,13
233,52
234,68
235,96
236,35
237,68
238,88
239,45
240,15
241,46
242,70
243,56
244,8
245,9
246,97
247,98
248,47
249,70
250,33
251,48
252,30
253,31
254,37
255,50
256,63
257,34
258,60
259,38
260,31
261,50
262,85
263,49
264,11
265,86
266,49
267,43
268,52
269,39
270,96
271,10
272,13
273,54
274,65
275,69
276,36
277,50
278,75
279,93
280,3
281,47
282,46
283,78
284,31
285,22
286,33
287,89
288,87
289,88
290,62
291,47
292,36
293,97
294,25
